0,1,2,3,4
909,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ПОЛУЧИВШИХ В УСТАНОВЛЕННОМ ПОРЯДКЕ ПЕРВУЮ И ВЫСШУЮ КВАЛИФИКАЦИОННЫЕ КАТЕГОРИИ И ПОДТВЕРЖДЕНИЕ СООТВЕТСТВИЯ ЗАНИМАЕМОЙ ДОЛЖНОСТИ В ОБЩЕЙ ЧИСЛЕННОСТИ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'организация_NOUN', 'получение_NOUN', 'установленный_ADJ', 'порядок_NOUN', 'первый_ADJ', 'высокий_ADJ', 'квалификация_NOUN', 'категория_NOUN', 'подтверждение_NOUN', 'соответствие_NOUN', 'занимать_VERB', 'должность_NOUN', 'общий_ADJ', 'численность_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'организация_NOUN']",2,"['соответствующий', 'учреждение', 'соответствие', 'государственный', 'учет', 'указанный', 'организация', 'обязательный', 'обучающийся', 'образование']"
4330,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ ПОЛУЧИВШИХ В УСТАНОВЛЕННОМ ПОРЯДКЕ ПЕРВУЮ И ВЫСШУЮ КВАЛИФИКАЦИОННЫЕ КАТЕГОРИИ И ПОДТВЕРЖДЕНИЕ СООТВЕТСТВИЯ ЗАНИМАЕМОЙ ДОЛЖНОСТИ В ОБЩЕЙ ЧИСЛЕННОСТИ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'учреждение_NOUN', 'получение_NOUN', 'установленный_ADJ', 'порядок_NOUN', 'первый_ADJ', 'высокий_ADJ', 'квалификация_NOUN', 'категория_NOUN', 'подтверждение_NOUN', 'соответствие_NOUN', 'занимать_VERB', 'должность_NOUN', 'общий_ADJ', 'численность_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'учреждение_NOUN']",2,"['соответствующий', 'учреждение', 'соответствие', 'государственный', 'учет', 'указанный', 'организация', 'обязательный', 'обучающийся', 'образование']"
8839,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ ПОЛУЧИВШИХ В УСТАНОВЛЕННОМ ПОРЯДКЕ ПЕРВУЮ И ВЫСШУЮ КВАЛИФИКАЦИОННЫЕ КАТЕГОРИИ И ПОДТВЕРЖДЕНИЕ СООТВЕТСТВИЯ ЗАНИМАЕМОЙ ДОЛЖНОСТИ В ОБЩЕЙ ЧИСЛЕННОСТИ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'учреждение_NOUN', 'получение_NOUN', 'установленный_ADJ', 'порядок_NOUN', 'первый_ADJ', 'высокий_ADJ', 'квалификация_NOUN', 'категория_NOUN', 'подтверждение_NOUN', 'соответствие_NOUN', 'занимать_VERB', 'должность_NOUN', 'общий_ADJ', 'численность_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'учреждение_NOUN']",2,"['соответствующий', 'учреждение', 'соответствие', 'государственный', 'учет', 'указанный', 'организация', 'обязательный', 'обучающийся', 'образование']"
11413,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ ПОЛУЧИВШИХ В УСТАНОВЛЕННОМ ПОРЯДКЕ ПЕРВУЮ И ВЫСШУЮ КВАЛИФИКАЦИОННЫЕ КАТЕГОРИИ И ПОДТВЕРЖДЕНИЕ СООТВЕТСТВИЯ ЗАНИМАЕМОЙ ДОЛЖНОСТИ В ОБЩЕЙ ЧИСЛЕННОСТИ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'учреждение_NOUN', 'получение_NOUN', 'установленный_ADJ', 'порядок_NOUN', 'первый_ADJ', 'высокий_ADJ', 'квалификация_NOUN', 'категория_NOUN', 'подтверждение_NOUN', 'соответствие_NOUN', 'занимать_VERB', 'должность_NOUN', 'общий_ADJ', 'численность_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'учреждение_NOUN']",2,"['соответствующий', 'учреждение', 'соответствие', 'государственный', 'учет', 'указанный', 'организация', 'обязательный', 'обучающийся', 'образование']"
11522,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ ПОЛУЧИВШИХ В УСТАНОВЛЕННОМ ПОРЯДКЕ ПЕРВУЮ И ВЫСШУЮ КВАЛИФИКАЦИОННЫЕ КАТЕГОРИИ И ПОДТВЕРЖДЕНИЕ СООТВЕТСТВИЯ ЗАНИМАЕМОЙ ДОЛЖНОСТИ В ОБЩЕЙ ЧИСЛЕННОСТИ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'учреждение_NOUN', 'получение_NOUN', 'установленный_ADJ', 'порядок_NOUN', 'первый_ADJ', 'высокий_ADJ', 'квалификация_NOUN', 'категория_NOUN', 'подтверждение_NOUN', 'соответствие_NOUN', 'занимать_VERB', 'должность_NOUN', 'общий_ADJ', 'численность_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'учреждение_NOUN']",2,"['соответствующий', 'учреждение', 'соответствие', 'государственный', 'учет', 'указанный', 'организация', 'обязательный', 'обучающийся', 'образование']"
13583,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ ПОЛУЧИВШИХ В УСТАНОВЛЕННОМ ПОРЯДКЕ ПЕРВУЮ И ВЫСШУЮ КВАЛИФИКАЦИОННЫЕ КАТЕГОРИИ И ПОДТВЕРЖДЕНИЕ СООТВЕТСТВИЯ ЗАНИМАЕМОЙ ДОЛЖНОСТИ В ОБЩЕЙ ЧИСЛЕННОСТИ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'учреждение_NOUN', 'получение_NOUN', 'установленный_ADJ', 'порядок_NOUN', 'первый_ADJ', 'высокий_ADJ', 'квалификация_NOUN', 'категория_NOUN', 'подтверждение_NOUN', 'соответствие_NOUN', 'занимать_VERB', 'должность_NOUN', 'общий_ADJ', 'численность_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'учреждение_NOUN']",2,"['соответствующий', 'учреждение', 'соответствие', 'государственный', 'учет', 'указанный', 'организация', 'обязательный', 'обучающийся', 'образование']"
20136,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ ПОЛУЧИВШИХ В УСТАНОВЛЕННОМ ПОРЯДКЕ ПЕРВУЮ И ВЫСШУЮ КВАЛИФИКАЦИОННЫЕ КАТЕГОРИИ И ПОДТВЕРЖДЕНИЕ СООТВЕТСТВИЯ ЗАНИМАЕМОЙ ДОЛЖНОСТИ В ОБЩЕЙ ЧИСЛЕННОСТИ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'учреждение_NOUN', 'получение_NOUN', 'установленный_ADJ', 'порядок_NOUN', 'первый_ADJ', 'высокий_ADJ', 'квалификация_NOUN', 'категория_NOUN', 'подтверждение_NOUN', 'соответствие_NOUN', 'занимать_VERB', 'должность_NOUN', 'общий_ADJ', 'численность_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'учреждение_NOUN']",2,"['соответствующий', 'учреждение', 'соответствие', 'государственный', 'учет', 'указанный', 'организация', 'обязательный', 'обучающийся', 'образование']"
22630,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ ПОЛУЧИВШИХ В УСТАНОВЛЕННОМ ПОРЯДКЕ ПЕРВУЮ И ВЫСШУЮ КВАЛИФИКАЦИОННЫЕ КАТЕГОРИИ И ПОДТВЕРЖДЕНИЕ СООТВЕТСТВИЯ ЗАНИМАЕМОЙ ДОЛЖНОСТИ В ОБЩЕЙ ЧИСЛЕННОСТИ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'учреждение_NOUN', 'получение_NOUN', 'установленный_ADJ', 'порядок_NOUN', 'первый_ADJ', 'высокий_ADJ', 'квалификация_NOUN', 'категория_NOUN', 'подтверждение_NOUN', 'соответствие_NOUN', 'занимать_VERB', 'должность_NOUN', 'общий_ADJ', 'численность_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'учреждение_NOUN']",2,"['соответствующий', 'учреждение', 'соответствие', 'государственный', 'учет', 'указанный', 'организация', 'обязательный', 'обучающийся', 'образование']"
24301,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ ПОЛУЧИВШИХ В УСТАНОВЛЕННОМ ПОРЯДКЕ ПЕРВУЮ И ВЫСШУЮ КВАЛИФИКАЦИОННЫЕ КАТЕГОРИИ И ПОДТВЕРЖДЕНИЕ СООТВЕТСТВИЯ ЗАНИМАЕМОЙ ДОЛЖНОСТИ В ОБЩЕЙ ЧИСЛЕННОСТИ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'учреждение_NOUN', 'получение_NOUN', 'установленный_ADJ', 'порядок_NOUN', 'первый_ADJ', 'высокий_ADJ', 'квалификация_NOUN', 'категория_NOUN', 'подтверждение_NOUN', 'соответствие_NOUN', 'занимать_VERB', 'должность_NOUN', 'общий_ADJ', 'численность_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'учреждение_NOUN']",2,"['соответствующий', 'учреждение', 'соответствие', 'государственный', 'учет', 'указанный', 'организация', 'обязательный', 'обучающийся', 'образование']"
491,ДОЛЯ УЧАСТНИКОВ КОНКУРСОВ КОНФЕРЕНЦИЙ СОРЕВНОВАНИЙ И Т Д ОТ ОБЩЕГО КОЛИЧЕСТВА ДЕТЕЙ ДОШКОЛЬНОГО ВОЗРАСТА,"['доля_NOUN', 'участник_NOUN', 'конкурс_NOUN', 'конференция_NOUN', 'соревнование_NOUN', 'общий_ADJ', 'количество_NOUN', 'ребенок_NOUN', 'дошкольный_ADJ', 'возраст_NOUN']",3,"['соревнование', 'конкурс', 'конференция', 'турнир', 'спортсмен', 'олимпиада', 'конкурсант', 'программа', 'состязание', 'призовой']"
