0,1,2,3,4
7684,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ ПРОГРАММ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ КОТОРЫМ ПРИ ПРОХОЖДЕНИИ АТТЕСТАЦИИ ПРИСВОЕНА ПЕРВАЯ ИЛИ ВЫСШАЯ КАТЕГОРИЯ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'программа_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'который_DET', 'прохождение_NOUN', 'аттестация_NOUN', 'присваивать_VERB', 'первый_ADJ', 'высокий_ADJ', 'категория_NOUN']",2,"['аттестация', 'профессиональный', 'соответствующий', 'подготовка', 'высокий', 'обучающийся', 'технический', 'категория', 'обучение', 'прохождение']"
7756,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ КОТОРЫМ ПРИ ПРОХОЖДЕНИИ АТТЕСТАЦИИ ПРИСВОЕНА ВЫСШАЯ ИЛИ ПЕРВАЯ КАТЕГОРИЯ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'образование_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'который_DET', 'прохождение_NOUN', 'аттестация_NOUN', 'присваивать_VERB', 'высокий_ADJ', 'первый_ADJ', 'категория_NOUN']",2,"['аттестация', 'профессиональный', 'соответствующий', 'подготовка', 'высокий', 'обучающийся', 'технический', 'категория', 'обучение', 'прохождение']"
8096,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ КОТОРЫМ ПРИ ПРОХОЖДЕНИИ АТТЕСТАЦИИ В СООТВЕТСТВУЮЩЕМ ГОДУ ПРИСВОЕНА ПЕРВАЯ ИЛИ ВЫСШАЯ КАТЕГОРИЯ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'который_DET', 'прохождение_NOUN', 'аттестация_NOUN', 'соответствие_NOUN', 'год_NOUN', 'присваивать_VERB', 'первый_ADJ', 'высокий_ADJ', 'категория_NOUN']",2,"['аттестация', 'профессиональный', 'соответствующий', 'подготовка', 'высокий', 'обучающийся', 'технический', 'категория', 'обучение', 'прохождение']"
12186,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ ПРОГРАММ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ПО КОТОРЫМ ПРИ ПРОХОЖДЕНИИ АТТЕСТАЦИИ В СООТВЕТСТВУЮЩЕМ ГОДУ ПРИСВОЕНА ПЕРВАЯ ИЛИ ВЫСШАЯ КАТЕГОРИЯ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'программа_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'который_DET', 'прохождение_NOUN', 'аттестация_NOUN', 'соответствие_NOUN', 'год_NOUN', 'присваивать_VERB', 'первый_ADJ', 'высокий_ADJ', 'категория_NOUN']",2,"['аттестация', 'профессиональный', 'соответствующий', 'подготовка', 'высокий', 'обучающийся', 'технический', 'категория', 'обучение', 'прохождение']"
16121,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ ПРОГРАММ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ КОТОРЫМ ПРИ ПРОХОЖДЕНИИ АТТЕСТАЦИИ ПРИСВОЕНА ПЕРВАЯ ИЛИ ВЫСШАЯ КВАЛИФИКАЦИОННАЯ КАТЕГОРИЯ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'программа_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'который_DET', 'прохождение_NOUN', 'аттестация_NOUN', 'присваивать_VERB', 'первый_ADJ', 'высокий_ADJ', 'квалификация_NOUN', 'категория_NOUN']",2,"['аттестация', 'профессиональный', 'соответствующий', 'подготовка', 'высокий', 'обучающийся', 'технический', 'категория', 'обучение', 'прохождение']"
18507,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ ПРОГРАММ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ КОТОРЫМ ПРИ ПРОХОЖДЕНИИ АТТЕСТАЦИИ ПРИСВОЕНА ПЕРВАЯ ИЛИ ВЫСШАЯ КАТЕГОРИЯ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'программа_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'который_DET', 'прохождение_NOUN', 'аттестация_NOUN', 'присваивать_VERB', 'первый_ADJ', 'высокий_ADJ', 'категория_NOUN']",2,"['аттестация', 'профессиональный', 'соответствующий', 'подготовка', 'высокий', 'обучающийся', 'технический', 'категория', 'обучение', 'прохождение']"
18713,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ ЗАНИМАЮЩИХСЯ ПО ПРОГРАММАМ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ КОТОРЫМ ПРИ ПРОХОЖДЕНИИ АТТЕСТАЦИИ ПРИСВОЕНА ПЕРВАЯ ИЛИ ВЫСШАЯ КАТЕГОРИЯ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'заниматься_VERB', 'программа_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'который_DET', 'прохождение_NOUN', 'аттестация_NOUN', 'присваивать_VERB', 'первый_ADJ', 'высокий_ADJ', 'категория_NOUN']",2,"['аттестация', 'профессиональный', 'соответствующий', 'подготовка', 'высокий', 'обучающийся', 'технический', 'категория', 'обучение', 'прохождение']"
3989,ДОЛЯ ОБУЧАЮЩИХСЯ УЧАСТВУЮЩИХ В МУНИЦИПАЛЬНЫХ РЕГИОНАЛЬНЫХ МЕЖРЕГИОНАЛЬНЫХ ВСЕРОССИЙСКИХ ОЛИМПИАДАХ ТВОРЧЕСКИХ КОНКУРСАХ КОНФЕРЕНЦИЯХ СОРЕВНОВАНИЯХ И Т Д В РАМКАХ ОБЩЕГО И ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ,"['доля_NOUN', 'обучающийся_NOUN', 'участвующий_NOUN', 'муниципальный_ADJ', 'региональный_ADJ', 'межрегиональный_ADJ', 'всероссийский_ADJ', 'олимпиада_NOUN', 'творческий_ADJ', 'конкурс_NOUN', 'конференция_NOUN', 'соревнование_NOUN', 'рамка_NOUN', 'общий_ADJ', 'дополнительный_ADJ', 'образование_NOUN']",3,"['международный', 'региональный', 'межрегиональный', 'конференция', 'конкурс', 'рамка', 'образовательный', 'всероссийский', 'организация', 'ассоциация']"
7947,ДОЛЯ ОБУЧАЮЩИХСЯ УЧАСТВУЮЩИХ В РЕГИОНАЛЬНЫХ МЕЖДУНАРОДНЫХ МЕЖРЕГИОНАЛЬНЫХ ВСЕРОССИЙСКИХ ОЛИМПИАДАХ ТВОРЧЕСКИХ КОНКУРСАХ КОНФЕРЕНЦИЯХ СОРЕВНОВАНИЯХ И Т Д В РАМКАХ ОБЩЕГО И ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ,"['доля_NOUN', 'обучающийся_NOUN', 'участвующий_NOUN', 'региональный_ADJ', 'международный_ADJ', 'межрегиональный_ADJ', 'всероссийский_ADJ', 'олимпиада_NOUN', 'творческий_ADJ', 'конкурс_NOUN', 'конференция_NOUN', 'соревнование_NOUN', 'рамка_NOUN', 'общий_ADJ', 'дополнительный_ADJ', 'образование_NOUN']",3,"['международный', 'региональный', 'межрегиональный', 'конференция', 'конкурс', 'рамка', 'образовательный', 'всероссийский', 'организация', 'ассоциация']"
8482,ДОЛЯ ОБУЧАЮЩИХСЯ УЧАСТВУЮЩИХ В РЕГИОНАЛЬНЫХ МЕЖДУНАРОДНЫХ МЕЖРЕГИОНАЛЬНЫХ ВСЕРОССИЙСКИХ ОЛИМПИАДАХ ТВОРЧЕСКИХ КОНКУРСАХ КОНФЕРЕНЦИЯХ СОРЕВНОВАНИЯХ И Т Д В РАМКАХ ОБЩЕГО И ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ,"['доля_NOUN', 'обучающийся_NOUN', 'участвующий_NOUN', 'региональный_ADJ', 'международный_ADJ', 'межрегиональный_ADJ', 'всероссийский_ADJ', 'олимпиада_NOUN', 'творческий_ADJ', 'конкурс_NOUN', 'конференция_NOUN', 'соревнование_NOUN', 'рамка_NOUN', 'общий_ADJ', 'дополнительный_ADJ', 'образование_NOUN']",3,"['международный', 'региональный', 'межрегиональный', 'конференция', 'конкурс', 'рамка', 'образовательный', 'всероссийский', 'организация', 'ассоциация']"
