0,1,2,3
119,ДОЛЯ ДЕТЕЙ СТАРШЕГО ШКОЛЬНОГО ВОЗРАСТА ПОЛУЧАЮЩИХ УСЛУГИ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ В ОБЩЕЙ ЧИСЛЕННОСТИ ДЕТЕЙ СТАРШЕГО ШКОЛЬНОГО ВОЗРАСТА,"['доля_NOUN', 'ребенок_NOUN', 'старший_ADJ', 'школьный_ADJ', 'возраст_NOUN', 'получение_NOUN', 'услуга_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'общий_ADJ', 'численность_NOUN', 'ребенок_NOUN', 'старший_ADJ', 'школьный_ADJ', 'возраст_NOUN']",-1
125,УДЕЛЬНЫЙ ВЕС ЧИСЛЕННОСТИ НАСЕЛЕНИЯ В ВОЗРАСТЕ ЛЕТ ОХВАЧЕННОГО ДОПОЛНИТЕЛЬНЫМ ОБРАЗОВАНИЕМ В ОБЩЕЙ ЧИСЛЕННОСТИ НАСЕЛЕНИЯ В ВОЗРАСТЕ ЛЕТ,"['удельный_ADJ', 'вес_NOUN', 'численность_NOUN', 'население_NOUN', 'возраст_NOUN', 'год_NOUN', 'охватывать_VERB', 'дополнительный_ADJ', 'образование_NOUN', 'общий_ADJ', 'численность_NOUN', 'население_NOUN', 'возраст_NOUN', 'год_NOUN']",-1
140,КОЛИЧЕСТВО УЧАСТНИКОВ КОНКУРСНЫХ МЕРОПРИЯТИЙ В ОБЩЕМ ЧИСЛЕ ЗАНИМАЮЩИХСЯ В СИСТЕМЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ,"['количество_NOUN', 'участник_NOUN', 'конкурс_NOUN', 'мероприятие_NOUN', 'общий_ADJ', 'число_NOUN', 'заниматься_VERB', 'система_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN']",-1
155,УВЕЛИЧЕНИЕ ДОЛИ ДЕТЕЙ В ВОЗРАСТЕ ОТ ДО ЛЕТ ОХВАЧЕННЫХ ДОПОЛНИТЕЛЬНЫМ ОБРАЗОВАНИЕМ,"['увеличение_NOUN', 'доля_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN', 'охватывать_VERB', 'дополнительный_ADJ', 'образование_NOUN']",23
171,УДЕЛЬНЫЙ ВЕС ОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЙ ОСНАЩЕННЫХ СПЕЦИАЛЬНЫМ ОБОРУДОВАНИЕМ ДЛЯ ОРГАНИЗАЦИИ ДЕЯТЕЛЬНОСТИ ФОРМИРОВАНИЙ СИСТЕМЫ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ,"['удельный_ADJ', 'вес_NOUN', 'образование_NOUN', 'учреждение_NOUN', 'оснащение_NOUN', 'специальность_NOUN', 'оборудование_NOUN', 'организация_NOUN', 'деятельность_NOUN', 'формирование_NOUN', 'система_NOUN', 'дополнительный_ADJ', 'образование_NOUN']",-1
183,ДОЛЯ ДЕТЕЙ И МОЛОДЕЖИ В ВОЗРАСТЕ ЛЕТ ОХВАЧЕННЫХ ОБРАЗОВАТЕЛЬНЫМИ ПРОГРАММАМИ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ,"['доля_NOUN', 'ребенок_NOUN', 'молодежь_NOUN', 'возраст_NOUN', 'год_NOUN', 'охватывать_VERB', 'образование_NOUN', 'программа_NOUN', 'дополнительный_ADJ', 'образование_NOUN']",43
189,ОХВАТ ДЕТЕЙ СО СПЕЦИАЛЬНЫМИ ПОТРЕБНОСТЯМИ ОБРАЗОВАТЕЛЬНЫМИ УСЛУГАМИ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ,"['охват_NOUN', 'ребенок_NOUN', 'специальность_NOUN', 'потребность_NOUN', 'образование_NOUN', 'услуга_NOUN', 'дополнительный_ADJ', 'образование_NOUN']",-1
190,ДОЛЯ ДЕТЕЙ В ВОЗРАСТЕ ОТ ДО ЛЕТ ОБУЧАЮЩИХСЯ ПО ДОПОЛНИТЕЛЬНЫМ ОБРАЗОВАТЕЛЬНЫМ ПРОГРАММАМ В ОБЩЕЙ ЧИСЛЕННОСТИ ДЕТЕЙ ЭТОГО ВОЗРАСТА,"['доля_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN', 'обученность_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'программа_NOUN', 'общий_ADJ', 'численность_NOUN', 'ребенок_NOUN', 'возраст_NOUN']",40
193,ДОЛЯ ДЕТЕЙ ШКОЛЬНОГО ВОЗРАСТА ОХВАЧЕННЫХ ДОПОЛНИТЕЛЬНЫМ ОБРАЗОВАНИЕМ,"['доля_NOUN', 'ребенок_NOUN', 'школьный_ADJ', 'возраст_NOUN', 'охватывать_VERB', 'дополнительный_ADJ', 'образование_NOUN']",22
202,ДОЛЯ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ КОТОРЫМ ПРИ ПРОХОЖДЕНИИ АТТЕСТАЦИИ ПРИСВОЕНА ПЕРВАЯ ИЛИ ВЫСШАЯ КАТЕГОРИЯ,"['доля_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'который_DET', 'прохождение_NOUN', 'аттестация_NOUN', 'присваивать_VERB', 'первый_ADJ', 'высокий_ADJ', 'категория_NOUN']",-1
